Constrant 1.0 Mu 1.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,97,106.7318987
iteration 1,93,116.2887564
iteration 2,91,98.75508002
iteration 3,99,124.3107387
iteration 4,95,97.8420346
iteration 5,95,118.3338431
iteration 6,84,96.57118346
iteration 7,84,90.630614
iteration 8,87,106.0525217
iteration 9,80,99.65328744
iteration 10,90,111.7839807
iteration 11,86,91.59837377
iteration 12,78,113.5308963
iteration 13,82,88.54721516
iteration 14,81,92.55883248
iteration 15,84,133.4105966
iteration 16,90,105.1809657
iteration 17,83,114.4407981
iteration 18,80,98.04583074
iteration 19,88,119.6050863
iteration 20,107,131.7580893
iteration 21,89,107.2687154
iteration 22,76,96.51818247
iteration 23,78,88.87111431
iteration 24,70,87.19718229
iteration 25,75,82.72716301
iteration 26,85,107.4714457
iteration 27,76,95.5107912
iteration 28,76,97.2840833
iteration 29,147,153.3601407
iteration 30,108,115.8414139
iteration 31,105,125.7973307
iteration 32,100,129.6325722
iteration 33,94,106.0716143
iteration 34,96,108.4229032
iteration 35,82,89.58179735
iteration 36,85,97.61540127
iteration 37,96,103.6796006
iteration 38,87,123.3076645
iteration 39,94,105.5815094
iteration 40,88,101.8335196
iteration 41,93,104.684867
iteration 42,93,101.8963374
iteration 43,98,107.584091
iteration 44,86,98.53477239
iteration 45,95,123.5023451
iteration 46,85,102.7815281
iteration 47,92,108.0828606
iteration 48,92,103.6331266
iteration 49,83,107.773117
Constrant 1.0 Mu 1.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,98,791.7320815
iteration 1,81,292.8229253
iteration 2,79,87.38284081
iteration 3,78,301.9280242
iteration 4,84,85.55773383
iteration 5,78,118.4887427
iteration 6,85,138.6174916
iteration 7,81,566.9244423
iteration 8,73,87.23835792
iteration 9,137,139.856619
iteration 10,112,153.4882295
iteration 11,95,131.0635189
iteration 12,91,110.4095802
iteration 13,95,175.0161574
iteration 14,85,160.6114301
iteration 15,93,136.4252191
iteration 16,88,111.5656735
iteration 17,91,114.6739506
iteration 18,81,132.5466405
iteration 19,84,173.6403915
iteration 20,140,169.4411719
iteration 21,80,191.5485921
iteration 22,75,79.73880685
iteration 23,81,84.53695187
iteration 24,81,150.4035568
iteration 25,79,121.1316962
iteration 26,92,110.0727636
iteration 27,183,203.8354063
iteration 28,87,110.4604928
iteration 29,94,167.1081967
iteration 30,94,403.1757901
iteration 31,100,981.961826
iteration 32,81,323.2812896
iteration 33,81,149.0787027
iteration 34,79,116.2271465
iteration 35,71,82.62969367
iteration 36,82,114.4081034
iteration 37,72,140.6614678
iteration 38,77,143.2087335
iteration 39,87,100.6452268
iteration 40,76,90.42906338
iteration 41,82,134.5591847
iteration 42,79,99.74460753
iteration 43,80,108.7259652
iteration 44,78,13710.87759
iteration 45,83,157.5651481
iteration 46,69,70.23216752
iteration 47,70,322.3700815
iteration 48,78,358.3430423
iteration 49,77,189.0671925
Constrant 1.0 Mu 1.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,74,116.2642834
iteration 1,71,538.1839991
iteration 2,71,104.3099678
iteration 3,75,110.6819405
iteration 4,68,120.734041
iteration 5,73,726.5190345
iteration 6,74,109.5718078
iteration 7,69,106.9511664
iteration 8,72,102.4465712
iteration 9,75,191.8777635
iteration 10,153,355.8546689
iteration 11,98,114.4747464
iteration 12,98,110.7614991
iteration 13,97,100.6736256
iteration 14,103,153.0590558
