Participant,Time to Receive
Participant2,488,515
Participant3,530,572
Participant4,549,570
Participant5,562,597
Participant2,15,50
Participant3,22,43
Participant4,46,67
Participant5,55,97
Participant2,10,30
Participant3,15,40
Participant4,27,54
Participant5,46,99
Participant2,10,33
Participant3,17,55
Participant4,25,46
Participant5,46,86
Participant2,10,43
Participant3,17,65
Participant4,30,83
Participant5,36,64
Participant2,10,34
Participant3,15,37
Participant4,27,70
Participant5,45,78
Participant2,18,49
Participant3,21,50
Participant4,27,60
Participant5,43,79
Participant2,10,63
Participant3,14,34
Participant4,32,56
Participant5,45,81
Participant2,14,61
Participant3,18,59
Participant4,28,50
Participant5,39,69
Participant2,9,33
Participant3,13,44
Participant4,31,68
Participant5,32,55
Participant2,9,57
Participant3,13,51
Participant4,29,59
Participant5,40,74
Participant2,12,43
Participant3,20,43
Participant4,33,80
Participant5,41,65
Participant2,9,47
Participant3,13,57
Participant4,26,56
Participant5,35,62
Participant2,8,35
Participant3,12,44
Participant4,26,58
Participant5,31,57
Participant2,9,30
Participant3,16,61
Participant4,23,73
Participant5,35,79
Participant2,7,47
Participant3,16,56
Participant4,22,63
Participant5,38,87
Participant2,8,31
Participant3,15,64
Participant4,23,53
Participant5,32,62
Participant2,9,40
Participant3,13,43
Participant4,22,74
Participant5,34,79
Participant2,8,36
Participant3,14,61
Participant4,31,78
Participant5,33,76
Participant2,8,46
Participant3,15,36
Participant4,24,45
Participant5,30,77
Participant2,10,46
Participant3,18,45
Participant4,25,55
Participant5,33,62
Participant2,9,62
Participant3,12,43
Participant4,30,77
Participant5,40,86
Participant2,8,28
Participant3,13,37
Participant4,24,76
Participant5,31,58
Participant2,8,50
Participant3,18,47
Participant4,22,67
Participant5,35,60
Participant2,8,28
Participant3,12,47
Participant4,22,55
Participant5,36,56
Participant2,7,40
Participant3,12,34
Participant4,19,41
Participant5,31,64
Participant2,7,32
Participant3,13,36
Participant4,20,61
Participant5,35,56
Participant2,7,50
Participant3,14,54
Participant4,23,48
Participant5,37,79
Participant2,8,43
Participant3,13,62
Participant4,24,78
Participant5,35,62
Participant2,7,32
Participant3,11,46
Participant4,23,43
Participant5,37,87
Participant2,12,56
Participant3,14,44
Participant4,26,65
Participant5,34,56
Participant2,7,36
Participant3,12,64
Participant4,24,44
Participant5,30,59
Participant2,8,49
Participant3,13,54
Participant4,22,44
Participant5,33,57
Participant2,8,32
Participant3,11,48
Participant4,22,56
Participant5,33,53
Participant2,8,40
Participant3,13,36
Participant4,26,59
Participant5,31,55
Participant2,7,54
Participant3,12,33
Participant4,22,70
Participant5,36,81
Participant2,9,47
Participant3,11,44
Participant4,21,52
Participant5,31,73
Participant2,8,29
Participant3,12,35
Participant4,21,43
Participant5,37,89
Participant2,9,39
Participant3,12,42
Participant4,23,76
Participant5,30,68
Participant2,8,33
Participant3,12,50
Participant4,23,64
Participant5,43,79
Participant2,7,44
Participant3,15,64
Participant4,30,51
Participant5,33,55
Participant2,7,37
Participant3,13,44
Participant4,25,49
Participant5,36,62
Participant2,8,31
Participant3,14,66
Participant4,23,55
Participant5,35,60
Participant2,7,41
Participant3,13,33
Participant4,22,50
Participant5,31,60
Participant2,8,47
Participant3,13,44
Participant4,20,55
Participant5,34,67
Participant2,7,33
Participant3,12,56
Participant4,21,43
Participant5,32,78
Participant2,7,51
Participant3,13,45
Participant4,23,62
Participant5,34,80
Participant2,8,46
Participant3,13,63
Participant4,24,73
Participant5,32,68
Participant2,10,48
Participant3,16,43
Participant4,28,65
Participant5,41,67
Participant2,9,35
Participant3,16,46
Participant4,23,48
Participant5,32,54
