Participant,Time to Receive,,,
Participant2,20,,,
Participant3,24,,,
Participant4,40,,,
Participant5,52,136,,
Participant2,14,,,
Participant3,17,,,
Participant4,47,,,
Participant5,65,143,,
Participant2,10,,,
Participant3,38,,,
Participant4,38,,,
Participant5,46,132,,
Participant2,11,,,
Participant3,19,,,
Participant4,27,,,
Participant5,36,93,,
Participant2,12,,,
Participant3,23,,,
Participant4,29,,,
Participant5,45,109,,
Participant2,16,,,
Participant3,20,,,
Participant4,26,,,
Participant5,34,96,,
Participant2,13,,,
Participant3,19,,,
Participant4,36,,,
Participant5,43,111,,
Participant2,10,,,
Participant3,16,,,
Participant4,32,,,
Participant5,44,102,,
Participant2,14,,,
Participant3,26,,,
Participant4,24,,,
Participant5,39,103,,
Participant2,13,,,
Participant3,15,,,
Participant4,24,,,
Participant5,36,88,,Average
,,,,111.3
