Participant,Time to Receive
Participant2,595
Participant3,549
Participant4,536
Participant5,594
Participant2,19
Participant3,48
Participant4,75
Participant5,1289
Participant2,15
Participant3,136
Participant4,71
Participant5,42
Participant2,63
Participant3,22
Participant4,554
Participant5,166
Participant2,108
Participant3,126
Participant4,129
Participant5,330
Participant2,43
Participant3,67
Participant4,237
Participant5,38
Participant2,614
Participant3,189
Participant4,53
Participant5,58
Participant2,851
Participant3,85
Participant4,151
Participant5,296
Participant2,78
Participant3,3151
Participant4,32
Participant5,447
Participant2,14
Participant3,113
Participant4,81
Participant5,99
Participant2,28
Participant3,128
Participant4,27
Participant5,58
