Constrant 1.0 Mu 5.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+sigma) of the simulation
iteration 0,12954.2615
iteration 1,47927.20692
iteration 2,48165.81888
iteration 3,4519.250482
iteration 4,315.3528637
iteration 5,21214.7606
iteration 6,3365.843931
iteration 7,2057.247809
iteration 8,23651.49882
iteration 9,278.3489603
iteration 10,35687.26556
iteration 11,13591.02304
iteration 12,1638.171695
iteration 13,11677.70027
iteration 14,16189.46147
iteration 15,15580.58749
iteration 16,9193.411025
iteration 17,969.2123329
iteration 18,371.4475577
iteration 19,47321.55111
iteration 20,297.6340713
iteration 21,2703.791033
iteration 22,504.2342547
iteration 23,53508.21148
iteration 24,1428.069132
iteration 25,3518.022368
iteration 26,6583.815457
iteration 27,41538.28998
iteration 28,30916.42798
iteration 29,18964.56885
iteration 30,14608.25916
iteration 31,432.0822227
iteration 32,329.4625703
iteration 33,13061.94275
iteration 34,2636.086812
iteration 35,31306.95768
iteration 36,52173.74646
iteration 37,427.7579204
iteration 38,817.7764279
iteration 39,8735.292406
iteration 40,237.5045424
iteration 41,23316.8935
iteration 42,243.5901686
iteration 43,58314.59179
iteration 44,15328.09815
iteration 45,39852.57216
iteration 46,3427.409703
iteration 47,12699.12764
iteration 48,598.8848415
iteration 49,9379.171142
iteration 50,1455.53261
iteration 51,1206.376195
iteration 52,266.2459039
iteration 53,258.1978518
iteration 54,51337.22826
iteration 55,19677.54692
iteration 56,12362.74242
iteration 57,715.9881147
iteration 58,35288.40583
iteration 59,266.2897085
iteration 60,1083.217705
iteration 61,3066.416279
iteration 62,39319.48165
iteration 63,355.1258395
iteration 64,18128.44895
iteration 65,303.7049935
iteration 66,9279.755728
iteration 67,1505.170839
iteration 68,1381.570589
iteration 69,543.6836817
iteration 70,15431.76445
iteration 71,652.260709
iteration 72,7821.219672
iteration 73,9129.522753
iteration 74,258.246385
iteration 75,885.51673
iteration 76,16733.21852
iteration 77,29888.10372
iteration 78,22232.59563
iteration 79,10083.86523
iteration 80,297.9163945
iteration 81,1916.273726
iteration 82,48390.04821
iteration 83,28034.58447
iteration 84,6872.157153
iteration 85,426.8711668
iteration 86,534.1170151
iteration 87,29308.06452
iteration 88,279.3099568
iteration 89,8978.274186
iteration 90,3867.624505
iteration 91,230.9393185
iteration 92,1165.469822
iteration 93,5283.086351
iteration 94,435.3743337
iteration 95,15944.75606
iteration 96,14996.10138
iteration 97,588.9340574
iteration 98,2534.374382
iteration 99,14907.17542
iteration 100,2161.569035
iteration 101,7465.35637
iteration 102,1308.164031
iteration 103,3436.690813
iteration 104,821.6872121
iteration 105,13410.69621
iteration 106,3676.22074
iteration 107,35801.18862
iteration 108,1722.222376
iteration 109,32970.77162
iteration 110,10265.06224
iteration 111,3820.547706
iteration 112,3534.814723
iteration 113,3695.372378
iteration 114,14285.13533
iteration 115,8390.188988
iteration 116,28647.31953
iteration 117,1068.430592
iteration 118,205.1463296
iteration 119,28772.62867
iteration 120,14076.20569
iteration 121,4118.057571
iteration 122,4496.239837
iteration 123,669.8851586
iteration 124,255.9177698
iteration 125,299.2912014
iteration 126,487.9434183
iteration 127,819.0938578
iteration 128,479.2050696
iteration 129,41522.87361
iteration 130,3838.746902
iteration 131,1496.428517
iteration 132,5135.827898
iteration 133,657.9731452
iteration 134,839.7702189
iteration 135,7661.135516
iteration 136,566.0068775
iteration 137,55111.35999
iteration 138,7782.759519
iteration 139,275.4609652
iteration 140,790.5536159
iteration 141,8493.921944
iteration 142,201.3854076
iteration 143,315.2015449
iteration 144,23161.7271
iteration 145,355.9650376
iteration 146,212.0701649
iteration 147,2325.985934
iteration 148,918.4128062
iteration 149,1245.043946
iteration 150,1004.099918
iteration 151,1452.961912
iteration 152,36603.87478
iteration 153,208.8147364
iteration 154,15038.4684
iteration 155,348.8562052
iteration 156,269.5236779
iteration 157,197.0943034
iteration 158,1662.506551
iteration 159,237.4722996
iteration 160,892.6645003
iteration 161,356.7662003
iteration 162,9288.985986
iteration 163,305.6281177
iteration 164,59241.45482
iteration 165,264.6613762
iteration 166,37461.76759
iteration 167,4961.625811
iteration 168,36275.99147
iteration 169,9480.293501
iteration 170,407.2849017
iteration 171,55173.18269
iteration 172,462.9823393
iteration 173,3828.627622
iteration 174,2051.229834
iteration 175,433.8000034
iteration 176,3874.804039
iteration 177,40937.44863
iteration 178,8106.651358
iteration 179,435.5842243
iteration 180,3270.14622
iteration 181,189.478189
iteration 182,802.7382322
iteration 183,250.0293178
iteration 184,280.407336
iteration 185,12855.81797
iteration 186,859.112632
iteration 187,15251.72935
iteration 188,248.1859781
iteration 189,13673.57243
iteration 190,311.5540538
iteration 191,2338.661604
iteration 192,799.2600451
iteration 193,1953.915005
iteration 194,339.2273317
iteration 195,2140.990367
iteration 196,3419.039172
iteration 197,21109.67896
iteration 198,42346.92552
iteration 199,820.40842
